Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-03,Gujarat,Ladies Finger,39,45 - 50,47 - 64,1kg,N/A
2024-05-03,Gujarat,Pumpkin,18,21 - 23,22 - 30,1kg,N/A
2024-05-03,Gujarat,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-03,Gujarat,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-03,Gujarat,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-03,Gujarat,Snake Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Gujarat,Sorrel Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-03,Gujarat,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-03,Gujarat,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-04,Gujarat,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-04,Gujarat,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-04,Gujarat,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Gujarat,Green Chilli,42,48 - 53,50 - 69,1kg,N/A
2024-05-04,Gujarat,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-04,Gujarat,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-04,Gujarat,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-04,Gujarat,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Gujarat,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-04,Gujarat,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-04,Gujarat,Baby Corn,61,70 - 77,73 - 101,1kg,N/A
2024-05-04,Gujarat,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-04,Gujarat,Capsicum,40,46 - 51,48 - 66,1kg,N/A
2024-05-04,Gujarat,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-04,Gujarat,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Gujarat,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-04,Gujarat,Broad Beans,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Gujarat,Cabbage,21,24 - 27,25 - 35,1kg,N/A
2024-05-04,Gujarat,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-04,Gujarat,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Gujarat,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-04,Gujarat,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-04,Gujarat,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-04,Gujarat,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Gujarat,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-04,Gujarat,Corn,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Gujarat,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Gujarat,Curry Leaves,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Gujarat,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Gujarat,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-04,Gujarat,Brinjal,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Gujarat,Brinjal (Big),25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Gujarat,Elephant Yam,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Gujarat,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Gujarat,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-04,Gujarat,Garlic,161,185 - 204,193 - 266,1kg,N/A
2024-05-04,Gujarat,Ginger,112,129 - 142,134 - 185,1kg,N/A
2024-05-04,Gujarat,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-04,Gujarat,Green Peas,48,55 - 61,58 - 79,1kg,N/A
2024-05-04,Gujarat,Ivy Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Gujarat,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-04,Gujarat,Mango Raw,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Gujarat,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-04,Gujarat,Mushroom,81,93 - 103,97 - 134,1kg,N/A
2024-05-04,Gujarat,Mustard Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-04,Gujarat,Ladies Finger,39,45 - 50,47 - 64,1kg,N/A
2024-05-04,Gujarat,Pumpkin,18,21 - 23,22 - 30,1kg,N/A
2024-05-04,Gujarat,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-04,Gujarat,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-04,Gujarat,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-04,Gujarat,Snake Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Gujarat,Sorrel Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-04,Gujarat,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-04,Gujarat,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-05,Gujarat,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Gujarat,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-05,Gujarat,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Gujarat,Green Chilli,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Gujarat,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-05,Gujarat,Potato,33,38 - 42,40 - 54,1kg,N/A
2024-05-05,Gujarat,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-05,Gujarat,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-05,Gujarat,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-05,Gujarat,Ash gourd,21,24 - 27,25 - 35,1kg,N/A
2024-05-05,Gujarat,Baby Corn,60,69 - 76,72 - 99,1kg,N/A
2024-05-05,Gujarat,Banana Flower,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,Gujarat,Capsicum,43,49 - 55,52 - 71,1kg,N/A
2024-05-05,Gujarat,Bitter Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-05,Gujarat,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-05,Gujarat,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Gujarat,Broad Beans,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Gujarat,Cabbage,20,23 - 25,24 - 33,1kg,N/A
2024-05-05,Gujarat,Carrot,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Gujarat,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Gujarat,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Gujarat,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-05,Gujarat,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,Gujarat,Colocasia,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Gujarat,Coriander Leaves,6,7 - 8,7 - 10,1kg,N/A
2024-05-05,Gujarat,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Gujarat,Cucumber,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Gujarat,Curry Leaves,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Gujarat,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-05,Gujarat,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Gujarat,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-05,Gujarat,Brinjal (Big),26,30 - 33,31 - 43,1kg,N/A
